Timestamp,Course Code,Feedback,Previous Experience,Gender,Attendance,Course Difficulty,Study Hours (per week),Overall Satisfaction,Department,Unnamed: 11
2023/05/24 9:29:41 AM MDT,CPE 331,The course is actually well detailed in the material the lecturer uses. The lecturer is also cool-headed and makes the class interactive albeit boring at times.,No,Male,Regular,Easy,10,7,Yes,
2023/05/24 9:31:08 AM MDT,CPE 341,"The course is not well taught. Worst still, we are writing codes on paper for exams.",Yes,Male,Regular,Moderate,10,6,Yes,
2023/05/24 9:33:37 AM MDT,CPE 381,I dont like my group period.,No,Male,Regular,Moderate,1,2,Yes,
2023/05/24 9:35:13 AM MDT,MEE 361,"This lecturer really tried for us to be honest but with the teaching of hundreds of students at a time, the class is very rowdy and students are mostly left to study on their own.",Yes,Male,Regular,Moderate,12,7,Yes,
2023/05/24 9:36:04 AM MDT,GSE 301,One of my best courses so far. No stress at all and we finished up really early.,Yes,Male,Regular,Easy,0,10,Yes,
2023/05/24 9:40:17 AM MDT,CPE 321,Such a terrible teaching method from the lecturer.,No,Male,Regular,Difficult,10,0,Yes,
2023/05/24 9:48:15 AM MDT,CPE 321,Awful ,No,Male,Regular,Difficult,4 hours ,2,Yes,
2023/05/24 4:39:40 PM MDT,CPE 321,I felt the course was a bit rushed in terms of teaching the course and also the materials were a bit complex to read and understand ,No,Male,Regular,Challenging,4,1,Yes,
2023/05/26 2:41:24 PM MDT,CPE 341,Little time to learn so much ,No,Female,Regular,Challenging,3,4,Yes,
2023/05/26 2:43:35 PM MDT,CPE 381,"The lecturer is good, I like him.",No,Female,Regular,Moderate,2,8,Yes,
2023/05/26 2:45:34 PM MDT,CPE 321,We are basically left to go study that course on our own. ,No,Female,Regular,Difficult,8,2,Yes,
2023/05/29 3:13:03 PM MDT,CPE 311,Course is well thought,Yes,Female,Regular,Easy,10,10,Yes,
2023/05/29 3:13:52 PM MDT,CPE 321,this course is hard,No,Female,Irregular,Difficult,3,0,Yes,
2023/05/29 3:14:54 PM MDT,CPE 331,The lecturer is good and his course is also good,No,Female,Regular,Moderate,12,8,Yes,
2023/05/29 3:16:16 PM MDT,CPE 341,the way the course is taught is not up to 21st century standard,No,Female,Regular,Challenging,8,4,Yes,
2023/05/29 3:17:26 PM MDT,CPE 381,1 unit course wey dey disturb person. nonsense.,No,Female,Regular,Challenging,0,1,Yes,
2023/05/29 3:18:28 PM MDT,MEE 361,class is always rowdy when taking this course,No,Female,Irregular,Moderate,11,6,Yes,
2023/05/29 3:22:05 PM MDT,GSE 301,no stress in this course,No,Female,Occasional,Easy,5,10,Yes,
2023/05/29 3:22:59 PM MDT,CPE 311,good,Yes,Female,Regular,Easy,12,9,Yes,
2023/05/29 3:23:37 PM MDT,CPE 321,stupid ,No,Female,Irregular,Difficult,4,0,Yes,
2023/05/29 3:34:07 PM MDT,CPE 331,nice course ,No,Female,Irregular,Moderate,8,7,Yes,
2023/05/29 3:35:14 PM MDT,CPE 341,hard and lecturer is fast when teaching,No,Female,Irregular,Difficult,10,3,Yes,
2023/05/29 3:36:57 PM MDT,CPE 381,why is a 1 unit course stressing our lives?,No,Female,Irregular,Challenging,1,1,Yes,
2023/05/29 3:37:41 PM MDT,MEE 361,relatively easy,No,Female,Regular,Moderate,15,6,Yes,
2023/05/29 3:41:13 PM MDT,GSE 301,stress no dey the course,No,Female,Regular,Easy,0,9,Yes,
2023/05/29 3:43:46 PM MDT,CPE 321,very awful course,No,Male,Irregular,Difficult,7,1,Yes,
2023/05/29 3:44:32 PM MDT,CPE 341,"The teaching mode and environment is top tier but the course itself requires deep thinking and reasoning especially questions seen in exam so the little learned during classes is certainly not enough to solve the problems, especially if you don’t have prior experience with programming.",No,Male,Regular,Challenging,6,5,Yes,
2023/05/29 3:45:08 PM MDT,CPE 311,nice teaching method from the lecturer,Yes,Male,Regular,Easy,11,9,Yes,
2023/05/29 3:48:28 PM MDT,CPE 321,the teaching method is so terrible ,No,Male,Irregular,Difficult,2,0,Yes,
2023/05/30 1:47:48 PM MDT,CPE 311,Easy course,No,Female,Irregular,Easy,8,9,Yes,
2023/05/30 1:50:08 PM MDT,CPE 321,The outline of the course is difficult and lecturer is bad,No,Female,Regular,Difficult,6,1,Yes,
2023/05/30 1:51:12 PM MDT,CPE 331,Lecturer is good but the class is dry and equations are much,No,Female,Irregular,Moderate,14,6,Yes,
2023/05/30 1:52:00 PM MDT,CPE 341,I hate coding,No,Female,Regular,Challenging,6,5,Yes,
2023/05/30 1:53:12 PM MDT,CPE 381,This one-unit course has got a hell of wahala,No,Female,Regular,Challenging,1,1,Yes,
2023/05/30 1:55:57 PM MDT,MEE 361,Teaching mode is bad but course is sometimes easy to understand,No,Female,Regular,Moderate,14,7,Yes,
2023/05/30 1:57:08 PM MDT,GSE 301,No stress in the course,No,Female,Regular,Easy,2,10,Yes,
2023/05/30 1:59:12 PM MDT,CPE 311,I won't lie. The course is sometimes hard.,Yes,Male,Occasional,Difficult,5,4,Yes,
2023/05/30 2:02:43 PM MDT,CPE 311,The course is cool,Yes,Male,Regular,Easy,18,10,Yes,
2023/05/30 2:03:32 PM MDT,CPE 321,Ah akanni. God will judge you.,No,Male,Irregular,Difficult,8,0,Yes,
2023/05/30 2:04:37 PM MDT,CPE 331,Na me dey make the class funny pass even though the man go do him best make am dry.,No,Male,Regular,Easy,18,8,Yes,
2023/05/30 2:05:31 PM MDT,CPE 341,Me wey be senior dev con dey struggle for LA class ha,No,Male,Regular,Challenging,12,3,Yes,
2023/05/30 2:06:16 PM MDT,CPE 381,one-unit course wey get problem. nonsense,No,Male,Regular,Difficult,1,1,Yes,
2023/05/30 2:07:50 PM MDT,MEE 361,I just hope I pass this course cos omo,Yes,Male,Regular,Moderate,11,4,Yes,
2023/05/30 2:12:28 PM MDT,GSE 301,SImple course,No,Male,Regular,Easy,10,10,Yes,
2023/05/30 2:14:02 PM MDT,CPE 311,I struggled at the start but it all went easy as time goes by,Yes,Female,Irregular,Easy,19,9,Yes,
2023/05/30 2:14:45 PM MDT,CPE 321,Awful & terrible from both the course and lecturer,No,Female,Irregular,Difficult,8,0,Yes,
2023/05/30 2:15:35 PM MDT,CPE 331,Nice teaching from scientist,No,Female,Irregular,Moderate,16,7,Yes,
2023/05/30 2:16:24 PM MDT,CPE 341,I no sabi code,No,Female,Irregular,Challenging,8,3,Yes,
2023/05/30 2:17:19 PM MDT,CPE 381,"I learnt a lot in the course, but the lecturers are too demanding",No,Female,Regular,Moderate,3,5,Yes,
2023/05/30 2:18:31 PM MDT,MEE 361,Applied my math's knowledge from 200L for the most part of course,Yes,Female,Irregular,Moderate,18,6,Yes,
2023/05/30 2:19:28 PM MDT,GSE 301,good one,Yes,Female,Regular,Easy,7,9,Yes,
2023/05/30 2:20:21 PM MDT,CPE 311,cool one from aunty,Yes,Male,Regular,Easy,15,10,Yes,
2023/05/30 2:22:16 PM MDT,CPE 321,"Akanni, you are a bad teacher wtf",No,Male,Regular,Difficult,10,0,Yes,
2023/05/30 2:24:19 PM MDT,CPE 331,nice,No,Male,Regular,Easy,16,9,Yes,
2023/05/30 2:26:11 PM MDT,CPE 341,thank God for my coding skills  bruh,Yes,Male,Regular,Moderate,15,9,Yes,
2023/05/30 2:31:52 PM MDT,CPE 381,neutral,No,Male,Regular,Challenging,5,5,Yes,
2023/05/30 2:33:14 PM MDT,GSE 301,nice and easy course,Yes,Male,Regular,Easy,7,10,Yes,
2023/05/30 2:34:28 PM MDT,CPE 311,great teaching method from lecturer,Yes,Female,Regular,Easy,18,10,Yes,
2023/05/30 2:35:26 PM MDT,CPE 321,I hate this course plus the man,No,Female,Irregular,Difficult,5,0,Yes,
2023/05/30 2:36:39 PM MDT,CPE 331,way to go. Nice job from lecturer,No,Female,Regular,Moderate,17,7,Yes,
2023/05/30 2:38:13 PM MDT,CPE 341,"LA didnt start well but Engineer Adeboye did well but in the end, the course was tricky",No,Female,Regular,Challenging,11,5,Yes,
2023/05/30 2:39:07 PM MDT,CPE 381,bad,No,Female,Regular,Challenging,2,3,Yes,
2023/05/30 2:41:42 PM MDT,MEE 361,fair play,No,Female,Regular,Moderate,14,6,Yes,
2023/05/30 2:42:35 PM MDT,CPE 311,good,Yes,Male,Regular,Easy,19,10,Yes,
2023/05/30 2:43:46 PM MDT,CPE 321,course should  not be difficult but lecturer messed it up,No,Male,Regular,Moderate,13,5,Yes,
2023/05/30 2:44:16 PM MDT,CPE 331,positive experience,No,Male,Regular,Easy,17,9,Yes,
2023/05/30 2:45:04 PM MDT,CPE 341,love to code and course is about coding. A plus for me,Yes,Male,Regular,Easy,18,9,Yes,
2023/05/30 2:45:57 PM MDT,CPE 381,awful practicals. course handlers are tough.,No,Male,Regular,Challenging,4,4,Yes,
2023/05/30 2:46:29 PM MDT,MEE 361,nice,Yes,Male,Regular,Easy,13,9,Yes,
2023/05/30 2:46:57 PM MDT,GSE 301,A bonus course for me,Yes,Male,Regular,Easy,8,10,Yes,
2023/05/30 2:47:59 PM MDT,CPE 311,the best course and lecturer,Yes,Female,Regular,Easy,15,10,Yes,
2023/05/30 2:48:58 PM MDT,CPE 321,akanni does not know how to teach,No,Female,Regular,Challenging,10,2,Yes,
2023/05/30 2:49:48 PM MDT,CPE 331,awesome,No,Female,Regular,Easy,12,9,Yes,
2023/05/30 2:50:42 PM MDT,CPE 341,love to code,Yes,Female,Regular,Moderate,7,7,Yes,
2023/05/30 2:52:57 PM MDT,CPE 381,practicals were okay for me sha,No,Female,Regular,Easy,12,8,Yes,
2023/05/30 2:53:35 PM MDT,MEE 361,nice,Yes,Female,Regular,Easy,15,9,Yes,
2023/05/30 2:54:23 PM MDT,GSE 301,GSE was very okay,Yes,Female,Irregular,Easy,5,9,Yes,
2023/05/30 2:55:21 PM MDT,CPE 311,nice course,Yes,Male,Regular,Easy,10,9,Yes,
2023/05/30 2:56:07 PM MDT,GSE 301,easy and no wahala,Yes,Female,Regular,Easy,9,8,Yes,
2023/05/30 2:57:17 PM MDT,CPE 321,terrible way of teaching with the I-dont-care attitude,No,Female,Irregular,Difficult,4,0,Yes,
2023/05/30 3:02:16 PM MDT,CPE 341,do not like coding,No,Male,Irregular,Difficult,0,0,Yes,
2023/05/30 3:03:39 PM MDT,CPE 381,this practical is hard on top 1 unit course haba,No,Female,Regular,Difficult,5,0,Yes,
2023/05/30 3:05:02 PM MDT,CPE 321,"not the right way to teach, Mr Akanni",No,Male,Occasional,Difficult,3,0,Yes,
