Course Code,Feedback,Previous Experience,Gender,Attendance,Course Difficulty,Study Hours (per week),Overall Satisfaction,Department,Date,Time,Hour,Processed_Feedback,Char_Count,Word_Count,Sentiment_Scores,Sentiments
MEE 361,Teaching mode is bad but course is sometimes easy to understand,No,Female,Regular,Moderate,14,7,Yes,2023-05-30,13:55:57,13,teaching mode bad course sometimes easy understand,50,7,-0.13333333333333325,negative
GSE 301,No stress in the course,No,Female,Regular,Easy,2,10,Yes,2023-05-30,13:57:08,13,stress course,13,2,0.0,negative
CPE 311,I won't lie. The course is sometimes hard.,Yes,Male,Occasional,Difficult,5,4,Yes,2023-05-30,13:59:12,13,wont lie course sometimes hard,30,5,-0.2916666666666667,negative
CPE 311,The course is cool,Yes,Male,Regular,Easy,18,10,Yes,2023-05-30,14:02:43,14,course cool,11,2,0.35,positive
CPE 321,Ah akanni. God will judge you.,No,Male,Irregular,Difficult,8,0,Yes,2023-05-30,14:03:32,14,ah akanni god judge,19,4,0.0,negative
CPE 331,Na me dey make the class funny pass even though the man go do him best make am dry.,No,Male,Regular,Easy,18,8,Yes,2023-05-30,14:04:37,14,na dey make class funny pas even though man go best make dry,60,13,0.39444444444444443,positive
CPE 341,Me wey be senior dev con dey struggle for LA class ha,No,Male,Regular,Challenging,12,3,Yes,2023-05-30,14:05:31,14,wey senior dev con dey struggle la class ha,43,9,0.0,negative
CPE 381,one-unit course wey get problem. nonsense,No,Male,Regular,Difficult,1,1,Yes,2023-05-30,14:06:16,14,oneunit course wey get problem nonsense,39,6,0.0,negative
MEE 361,I just hope I pass this course cos omo,Yes,Male,Regular,Moderate,11,4,Yes,2023-05-30,14:07:50,14,hope pas course co omo,22,5,0.0,negative
GSE 301,SImple course,No,Male,Regular,Easy,10,10,Yes,2023-05-30,14:12:28,14,simple course,13,2,0.0,negative
CPE 311,I struggled at the start but it all went easy as time goes by,Yes,Female,Irregular,Easy,19,9,Yes,2023-05-30,14:14:02,14,struggled start went easy time go,33,6,0.43333333333333335,positive
CPE 321,Awful & terrible from both the course and lecturer,No,Female,Irregular,Difficult,8,0,Yes,2023-05-30,14:14:45,14,awful terrible course lecturer,30,4,-1.0,negative
CPE 331,Nice teaching from scientist,No,Female,Irregular,Moderate,16,7,Yes,2023-05-30,14:15:35,14,nice teaching scientist,23,3,0.6,positive
CPE 341,I no sabi code,No,Female,Irregular,Challenging,8,3,Yes,2023-05-30,14:16:24,14,sabi code,9,2,0.0,negative
CPE 381,"I learnt a lot in the course, but the lecturers are too demanding",No,Female,Regular,Moderate,3,5,Yes,2023-05-30,14:17:19,14,learnt lot course lecturer demanding,36,5,0.0,negative
MEE 361,Applied my math's knowledge from 200L for the most part of course,Yes,Female,Irregular,Moderate,18,6,Yes,2023-05-30,14:18:31,14,applied math knowledge 200l part course,39,6,0.0,negative
GSE 301,good one,Yes,Female,Regular,Easy,7,9,Yes,2023-05-30,14:19:28,14,good one,8,2,0.7,positive
CPE 311,cool one from aunty,Yes,Male,Regular,Easy,15,10,Yes,2023-05-30,14:20:21,14,cool one aunty,14,3,0.35,positive
CPE 321,"Akanni, you are a bad teacher wtf",No,Male,Regular,Difficult,10,0,Yes,2023-05-30,14:22:16,14,akanni bad teacher wtf,22,4,-0.5999999999999999,negative
CPE 331,nice,No,Male,Regular,Easy,16,9,Yes,2023-05-30,14:24:19,14,nice,4,1,0.6,positive
CPE 341,thank God for my coding skills  bruh,Yes,Male,Regular,Moderate,15,9,Yes,2023-05-30,14:26:11,14,thank god coding skill bruh,27,5,0.0,negative
CPE 381,neutral,No,Male,Regular,Challenging,5,5,Yes,2023-05-30,14:31:52,14,neutral,7,1,0.0,negative
GSE 301,nice and easy course,Yes,Male,Regular,Easy,7,10,Yes,2023-05-30,14:33:14,14,nice easy course,16,3,0.5166666666666666,positive
CPE 311,great teaching method from lecturer,Yes,Female,Regular,Easy,18,10,Yes,2023-05-30,14:34:28,14,great teaching method lecturer,30,4,0.8,positive
CPE 321,I hate this course plus the man,No,Female,Irregular,Difficult,5,0,Yes,2023-05-30,14:35:26,14,hate course plus man,20,4,-0.8,negative
CPE 331,way to go. Nice job from lecturer,No,Female,Regular,Moderate,17,7,Yes,2023-05-30,14:36:39,14,way go nice job lecturer,24,5,0.6,positive
CPE 341,"LA didnt start well but Engineer Adeboye did well but in the end, the course was tricky",No,Female,Regular,Challenging,11,5,Yes,2023-05-30,14:38:13,14,la didnt start well engineer adeboye well end course tricky,59,10,0.0,negative
CPE 381,bad,No,Female,Regular,Challenging,2,3,Yes,2023-05-30,14:39:07,14,bad,3,1,-0.6999999999999998,negative
MEE 361,fair play,No,Female,Regular,Moderate,14,6,Yes,2023-05-30,14:41:42,14,fair play,9,2,0.7,positive
CPE 311,good,Yes,Male,Regular,Easy,19,10,Yes,2023-05-30,14:42:35,14,good,4,1,0.7,positive
CPE 321,course should  not be difficult but lecturer messed it up,No,Male,Regular,Moderate,13,5,Yes,2023-05-30,14:43:46,14,course difficult lecturer messed,32,4,-0.5,negative
CPE 331,positive experience,No,Male,Regular,Easy,17,9,Yes,2023-05-30,14:44:16,14,positive experience,19,2,0.22727272727272727,positive
CPE 341,love to code and course is about coding. A plus for me,Yes,Male,Regular,Easy,18,9,Yes,2023-05-30,14:45:04,14,love code course coding plus,28,5,0.5,positive
CPE 381,awful practicals. course handlers are tough.,No,Male,Regular,Challenging,4,4,Yes,2023-05-30,14:45:57,14,awful practicals course handler tough,37,5,-0.6944444444444444,negative
MEE 361,nice,Yes,Male,Regular,Easy,13,9,Yes,2023-05-30,14:46:29,14,nice,4,1,0.6,positive
GSE 301,A bonus course for me,Yes,Male,Regular,Easy,8,10,Yes,2023-05-30,14:46:57,14,bonus course,12,2,0.0,negative
CPE 311,the best course and lecturer,Yes,Female,Regular,Easy,15,10,Yes,2023-05-30,14:47:59,14,best course lecturer,20,3,1.0,positive
CPE 321,akanni does not know how to teach,No,Female,Regular,Challenging,10,2,Yes,2023-05-30,14:48:58,14,akanni know teach,17,3,0.0,negative
CPE 331,awesome,No,Female,Regular,Easy,12,9,Yes,2023-05-30,14:49:48,14,awesome,7,1,1.0,positive
CPE 341,love to code,Yes,Female,Regular,Moderate,7,7,Yes,2023-05-30,14:50:42,14,love code,9,2,0.5,positive
CPE 381,practicals were okay for me sha,No,Female,Regular,Easy,12,8,Yes,2023-05-30,14:52:57,14,practicals okay sha,19,3,0.5,positive
MEE 361,nice,Yes,Female,Regular,Easy,15,9,Yes,2023-05-30,14:53:35,14,nice,4,1,0.6,positive
GSE 301,GSE was very okay,Yes,Female,Irregular,Easy,5,9,Yes,2023-05-30,14:54:23,14,gse okay,8,2,0.5,positive
CPE 311,nice course,Yes,Male,Regular,Easy,10,9,Yes,2023-05-30,14:55:21,14,nice course,11,2,0.6,positive
GSE 301,easy and no wahala,Yes,Female,Regular,Easy,9,8,Yes,2023-05-30,14:56:07,14,easy wahala,11,2,0.43333333333333335,positive
CPE 321,terrible way of teaching with the I-dont-care attitude,No,Female,Irregular,Difficult,4,0,Yes,2023-05-30,14:57:17,14,terrible way teaching idontcare attitude,40,5,-1.0,negative
CPE 341,do not like coding,No,Male,Irregular,Difficult,0,0,Yes,2023-05-30,15:02:16,15,like coding,11,2,0.0,negative
CPE 381,this practical is hard on top 1 unit course haba,No,Female,Regular,Difficult,5,0,Yes,2023-05-30,15:03:39,15,practical hard top unit course haba,35,6,0.10416666666666666,positive
CPE 321,"not the right way to teach, Mr Akanni",No,Male,Occasional,Difficult,3,0,Yes,2023-05-30,15:05:02,15,right way teach mr akanni,25,5,0.2857142857142857,positive
